Datum,Št dogodkov,Št bitk ali vojn,Št rojstev,Št smrti
31.avgust,50,8,248,111
1.september,41,10,249,94
2.september,49,8,228,113
3.september,57,13,243,99
4.september,53,9,236,103
5.september,59,14,277,116
6.september,53,11,246,115
7.september,71,12,269,138
8.september,75,16,305,105
9.september,61,11,247,112
10.september,41,8,246,113
11.september,76,19,215,121
12.september,66,10,242,102
13.september,57,16,257,105
14.september,58,13,303,123
15.september,56,13,256,107
16.september,53,5,295,105
17.september,66,20,271,122
18.september,74,9,261,99
19.september,48,11,244,88
20.september,49,10,236,94
21.september,50,7,281,106
22.september,43,11,256,98
23.september,22,9,235,96
24.september,42,4,232,101
25.september,43,9,281,121
26.september,50,9,268,106
27.september,49,6,254,110
28.september,54,8,266,99
29.september,54,11,243,137
30.september,45,4,234,79
1.oktober,91,7,278,101
2.oktober,33,9,165,74
3.oktober,42,8,228,99
4.oktober,51,11,246,98
5.oktober,43,5,255,102
6.oktober,44,14,262,115
7.oktober,54,8,247,115
8.oktober,46,13,277,103
9.oktober,57,7,243,102
10.oktober,50,5,294,124
11.oktober,42,6,235,89
12.oktober,66,5,242,122
13.oktober,40,1,205,97
14.oktober,62,12,233,113
15.oktober,43,4,244,108
16.oktober,63,7,245,131
17.oktober,60,7,377,113
18.oktober,48,11,251,121
19.oktober,51,11,249,111
20.oktober,37,9,251,106
21.oktober,54,12,242,105
22.oktober,54,6,259,94
23.oktober,58,20,269,101
24.oktober,60,11,311,115
25.oktober,42,8,440,122
26.oktober,49,10,235,119
27.oktober,48,4,241,115
28.oktober,52,10,239,109
29.oktober,58,7,220,92
30.oktober,46,9,255,98
31.oktober,47,4,243,108
1.november,81,11,243,89
2.november,41,10,183,88
3.november,54,7,276,106
4.november,46,12,216,101
5.november,51,8,237,114
6.november,22,4,113,49
7.november,72,11,263,110
8.november,60,12,256,109
9.november,70,20,211,111
10.november,50,9,277,101
11.november,67,14,230,112
12.november,57,10,203,93
13.november,51,10,210,98
14.november,47,5,240,98
15.november,58,8,229,116
16.november,48,11,225,121
17.november,58,9,239,117
18.november,54,8,227,83
19.november,47,12,250,122
20.november,48,11,506,134
